key,name,codeIATA,website,type,foundationMoment,email,phone
airline-19,airline,APX,"https://www.lorem-ipsum.org",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-20,airline,AQX,"ftp://www.lorem-ipsum.org",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-21,airline,ARX,"http://www.lorem-ipsum.org/dolor/sit.html",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-22,airline,ASX,"http://www.lorem-ipsum.org/dolor/sit.html#dolor",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-23,airline,ATX,"http://example.org?a=1&b=2",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-24,airline,AUX,"http://example.org?",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-25,airline,AVX,"http://example.org?a",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-26,airline,AWX,"http://example.org?a&b",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-27,airline,AXX,"http://example.org/",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-28,airline,AYX,"http://example.org/a",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-29,airline,AZX,"http://example.org/a/b",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-30,airline,BAX,"http://example.org/a/b?",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-31,airline,BBX,"http://example.org/a/b?a&b",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
# type
#airline-32,airline,BCX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-33,airline,BDX,"http://lorem.com/ipsum",STANDARD,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-34,airline,BEX,"http://lorem.com/ipsum",LOW_COST,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
# foundationMoment
airline-35,airline,BFX,"http://lorem.com/ipsum",LUXURY,2000/01/01 0:00,"acme@lorem-ipsum.org",+123456789
airline-36,airline,BGX,"http://lorem.com/ipsum",LUXURY,2000/01/01 0:01,"acme@lorem-ipsum.org",+123456789
airline-37,airline,BHX,"http://lorem.com/ipsum",LUXURY,2024/12/31 23:59,"acme@lorem-ipsum.org",+123456789
airline-38,airline,BIX,"http://lorem.com/ipsum",LUXURY,2025/01/01 0:00,"acme@lorem-ipsum.org",+123456789
# email
airline-40,airline,BKX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"a@b.e",+123456789
airline-41,airline,BLX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"a@b.es",+123456789
airline-42,airline,BMX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"a@b.esx",+123456789
airline-43,airline,BNX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu",+123456789
airline-44,airline,BOX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org",+123456789
# phone
airline-46,airline,BQX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",123456
airline-47,airline,BRX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",987654321098765
airline-48,airline,BSX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456
airline-49,airline,BTX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+987654321098765
airline-50,airline,BUX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+112233445566
airline-51,airline,BVX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",123456
