key,name,IATAcode,scope,city,country,web,email,phone
airport-27,airport,ZXX,INTERNATIONAL,'' or 'A' = 'A,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
# country
airport-28,airport,ZYX,INTERNATIONAL,lorem,L,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-29,airport,ZZX,INTERNATIONAL,lorem,Lo,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-30,airport,WAX,INTERNATIONAL,lorem,"Lorem ipsum dolor sit amet, consectetur adipiscin",http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-31,airport,WBX,INTERNATIONAL,lorem,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-32,airport,WCX,INTERNATIONAL,lorem,โลเร็ม อิปซัม,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-33,airport,WDX,INTERNATIONAL,lorem,لوريم إيبسوم,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-34,airport,WEX,INTERNATIONAL,lorem,洛伦·伊普森,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-35,airport,WFX,INTERNATIONAL,lorem,<marquee>Hacked</marquee>,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-36,airport,WGX,INTERNATIONAL,lorem,<script>alert(‘Hacked!’);</script>,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-37,airport,WHX,INTERNATIONAL,lorem,'' or 'A' = 'A,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
# web
airport-38,airport,WIX,INTERNATIONAL,lorem,lorem,ftp://a,acme@lorem-ipsum.org,+123456789
airport-39,airport,WJX,INTERNATIONAL,lorem,lorem,ftp://a.b,acme@lorem-ipsum.org,+123456789
airport-40,airport,WKX,INTERNATIONAL,lorem,lorem,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",acme@lorem-ipsum.org,+123456789
airport-41,airport,WLX,INTERNATIONAL,lorem,lorem,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",acme@lorem-ipsum.org,+123456789
airport-42,airport,WMX,INTERNATIONAL,lorem,lorem,https://www.lorem-ipsum.org,acme@lorem-ipsum.org,+123456789
airport-43,airport,WNX,INTERNATIONAL,lorem,lorem,ftp://www.lorem-ipsum.org,acme@lorem-ipsum.org,+123456789
airport-44,airport,WOX,INTERNATIONAL,lorem,lorem,http://www.lorem-ipsum.org/dolor/sit.html,acme@lorem-ipsum.org,+123456789
airport-45,airport,WPX,INTERNATIONAL,lorem,lorem,http://www.lorem-ipsum.org/dolor/sit.html#dolor,acme@lorem-ipsum.org,+123456789
airport-46,airport,WQX,INTERNATIONAL,lorem,lorem,http://example.org?a=1&b=2,acme@lorem-ipsum.org,+123456789
airport-47,airport,WRX,INTERNATIONAL,lorem,lorem,http://example.org?,acme@lorem-ipsum.org,+123456789
airport-48,airport,WSX,INTERNATIONAL,lorem,lorem,http://example.org?a,acme@lorem-ipsum.org,+123456789
airport-49,airport,WTX,INTERNATIONAL,lorem,lorem,http://example.org?a&b,acme@lorem-ipsum.org,+123456789
airport-50,airport,WUX,INTERNATIONAL,lorem,lorem,http://example.org/,acme@lorem-ipsum.org,+123456789
airport-51,airport,WVX,INTERNATIONAL,lorem,lorem,http://example.org/a,acme@lorem-ipsum.org,+123456789
airport-52,airport,WWX,INTERNATIONAL,lorem,lorem,http://example.org/a/b,acme@lorem-ipsum.org,+123456789
airport-53,airport,WXX,INTERNATIONAL,lorem,lorem,http://example.org/a/b?,acme@lorem-ipsum.org,+123456789
airport-54,airport,WYX,INTERNATIONAL,lorem,lorem,http://example.org/a/b?a&b,acme@lorem-ipsum.org,+123456789
# email
airport-56,airport,RAX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,a@b.e,+123456789
airport-57,airport,RBX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,a@b.es,+123456789
airport-58,airport,RCX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,a@b.esx,+123456789
airport-59,airport,RDX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,+123456789
airport-60,airport,REX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,+123456789
# phone
airport-62,airport,RGX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,123456
airport-63,airport,RHX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,987654321098765
airport-64,airport,RIX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456
airport-65,airport,RJX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+987654321098765
airport-66,airport,RKX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+112233445566
airport-67,airport,RLX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,123456
